File Extension,Ransomware,Present in other programs,Program type
619-300-6500,Unidentified,N,
IWANT,Unidentified,N,
Marduk,Unidentified,N,
Unknown,Unidentified,N,
pfanz,Unidentified,N,
pcqq,Unidentified,N,
com}MTP,Unidentified,N,
24H,Unidentified,N,
krzffw,Unidentified,N,
chekyshka,Unidentified,N,
HolyCrypt,Unidentified,N,
HakunaMatata,Unidentified,N,
mp3,TeslaCrypt,Y,mp3PROAudiofile
ENCR,Unidentified,N,
SilentSpring,Unidentified,N,
gommemode,Unidentified,N,
alcatraz,Satan,N,
shutdown57,Unidentified,N,
{CRYPTENDBLACKDC},Unidentified,N,
bitstak,Magic,N,
henry217,Unidentified,N,
cov19,Unidentified,N,
pecunia,Unidentified,N,
GOTHAM,Unidentified,N,
VBRANSOM,Unidentified,N,
PwndLocker,Unidentified,N,
TeOnS,Unidentified,N,
Mcafee,Unidentified,N,
MERIN,Unidentified,N,
CYRON,Unidentified,N,
crimson,Unidentified,N,
MDRL,Unidentified,N,
bgCIb,Unidentified,N,
7jo22z5m,Unidentified,N,
ragnar_*,Unidentified,N,
u'*_ryp,Unidentified,N,
TheTrumpLockerp,Unidentified,N,
BeethoveN,Unidentified,N,
FastWind,Unidentified,N,
JosepCrypt,Unidentified,N,
Whereisyourfiles,PyL33T,N,
encryptedped,Unidentified,N,
mn*,Unidentified,N,
M0rphine,Unidentified,N,
ROGER,Unidentified,N,
Chartogy,Unidentified,N,
REBL,Unidentified,N,
ramen,Unidentified,N,
FreeMe,Unidentified,N,
DarkoderCryptor,Unidentified,N,
Enfp,Unidentified,N,
clinTON,Unidentified,N,
jimm,Unidentified,N,
lisp,Unidentified,N,
angus,Unidentified,N,
[Delta]*,Unidentified,N,
dodged,Unidentified,N,
bablo,Unidentified,N,
AHP,Unidentified,N,
Unlock26,Unidentified,N,
vindows,RektLocker,N,
MarsJoke,Unidentified,N,
{XXXXXXX-588E-7D5B-AED1-2CD51808DE12},Unidentified,N,
veracrypt,Unidentified,N,
dodger,Unidentified,N,
JoeGo,Unidentified,N,
Fabiansomware,Unidentified,N,
PhantomChina,Unidentified,N,
weencedufiles,Unidentified,N,
INFECTION,Unidentified,N,
x1881,Unidentified,N,
BDDY,Unidentified,N,
xiaoba9,Unidentified,N,
xiaoba8,Unidentified,N,
abc,Xorist,Y,ActionScriptByteCodeFile
darkness,FileLocker,N,
GILLETTE,Unidentified,N,
clock,Unidentified,N,
1500dollars,Unidentified,N,
sun,Unidentified,Y,Sunrasterfilegraphics
SunCrypt,Unidentified,N,
MOLE66,Unidentified,N,
xiaoba5,Unidentified,N,
xiaoba4,Unidentified,N,
xiaoba7,Unidentified,N,
YBNT,Unidentified,N,
AFD,Unidentified,N,
u'*unluckyware*,Unidentified,N,
masodas,Unidentified,N,
BOMBO,Unidentified,N,
xiaoba2,Unidentified,N,
sux,Unidentified,N,
muhstik,Unidentified,N,
Rektware,Unidentified,N,
hceem,Unidentified,N,
yrnb,Unidentified,N,
mbrcodes,Unidentified,N,
easyransom!,Unidentified,N,
toec,Unidentified,N,
TRAPGET!,Unidentified,N,
NEPHILIM,Unidentified,N,
nusar,Unidentified,N,
bgtx,Unidentified,N,
gigahertz,Unidentified,N,
lotep,Unidentified,N,
hasp,Unidentified,N,
razy,KeRanger,N,
howareyou,Unidentified,N,
tortoise,Unidentified,N,
gangbang,Unidentified,N,
resurrection,Unidentified,N,
PshCrypt,Unidentified,N,
himr,Unidentified,N,
creepy,Unidentified,N,
RSA2048Pro,Unidentified,N,
paymrts,Unidentified,N,
block_file12,Unidentified,N,
dglnl,Unidentified,N,
73i87A,Globe,N,
PowerLocky,Unidentified,N,
vovalex,Unidentified,N,
Globeimposter*,Unidentified,N,
via,Unidentified,N,
wq2k,Unidentified,N,
Petya,Unidentified,N,
YOLO,Unidentified,N,
africa,Unidentified,N,
Atchbo,Unidentified,N,
hncdumn,Unidentified,N,
hrhr,Unidentified,N,
FUSION,Unidentified,N,
KRONOS,Unidentified,N,
RABBIT,Unidentified,N,
CNMHR,Unidentified,N,
bleepYourFiles,Unidentified,N,
FCP,Unidentified,N,
eye,Unidentified,N,
u'*@LOCKED,Unidentified,N,
RansomWarrior,Unidentified,N,
darus,Unidentified,N,
brrr,Unidentified,N,
omnisphere,Unidentified,N,
lock93,Jigsaw,N,
charck,Unidentified,N,
AdamLocker,Unidentified,N,
NEMTY_VFFXXXX,Unidentified,N,
Globe3,Unidentified,N,
sepsys,Unidentified,N,
nef1lim,Unidentified,N,
hcked,Unidentified,N,
flat,Unidentified,N,
lockerxxs,Unidentified,N,
96e2,Unidentified,N,
troyancoder@qq_com,Unidentified,N,
BIG1,Unidentified,N,
ONYX,Unidentified,N,
encryptedRSA,Unidentified,N,
Erica,Unidentified,N,
LTC,Unidentified,N,
Frivolity,Unidentified,N,
ONYC,Unidentified,N,
tanos,Unidentified,N,
HCY!!,Unidentified,N,
wdie,Unidentified,N,
fmk-ta3-7ym,Unidentified,N,
wowreadfordecryp,Unidentified,N,
anon000,Unidentified,N,
pahd,Unidentified,N,
explorer,Unidentified,N,
maniac,Unidentified,N,
powned,Unidentified,N,
hydracrypt_ID_*,Unidentified,N,
K8VfiZ,Unidentified,N,
SUSPENDED,Unidentified,N,
Persephone666,Unidentified,N,
dec,Unidentified,Y,VersaProDeclarationfile
kci0n,Unidentified,N,
SF,Unidentified,N,
Minotaur,Unidentified,N,
AUDIT,Unidentified,N,
CryptoHitman,Unidentified,N,
fsociety,Unidentified,N,
Prandel,Unidentified,N,
junked,Unidentified,N,
herad,Unidentified,N,
wlu,Unidentified,N,
biden,Unidentified,N,
VaNdElIs,Unidentified,N,
Defray,Unidentified,N,
SO0i,Unidentified,N,
u'CRYPTOID_*,Unidentified,N,
Sal13,Unidentified,N,
C-VIR,Unidentified,N,
FLKR,Unidentified,N,
u'*!DMAlock*,Unidentified,N,
mapo,Unidentified,N,
hackdoor,Unidentified,N,
ms13,Unidentified,N,
stj888,Unidentified,N,
weui,Unidentified,N,
WannaCry*,Unidentified,N,
PClock,Unidentified,N,
carcn,Unidentified,N,
ryp,Unidentified,N,
DEDCryptor,Unidentified,N,
Z81928819,Unidentified,N,
HelpDCFile,Unidentified,N,
PaySafeGen,Unidentified,N,
n7ys81w,Unidentified,N,
FEEDC,Unidentified,N,
AB89,Unidentified,N,
njkwe,Unidentified,N,
Artemis,Unidentified,N,
L1LL,Unidentified,N,
bkp,Unidentified,Y,Backupfile(Write-TurboVidionDialogDesigner)
ZRB,Unidentified,N,
keybtc@inbox,Unidentified,N,
pablukCRYPT,Unidentified,N,
a,Unidentified,Y,Adasourcecodefile
Cry9,Unidentified,N,
Simple_Encoder,Unidentified,N,
RSA,Unidentified,N,
wncrypt,Unidentified,N,
R16m01d05,TeslaCrypt,N,
CC4H,Unidentified,N,
File,Unidentified,N,
u'*_out,Unidentified,N,
sorena,Unidentified,N,
shadi,Unidentified,N,
blackruby,Unidentified,N,
NSB,Unidentified,N,
EncryptoJJS,Unidentified,N,
m5m5,Unidentified,N,
jigsaaw,Unidentified,N,
help,Unidentified,N,
SZFLocker,Unidentified,N,
cadq,Unidentified,N,
xsmb,Unidentified,N,
CHE808,Unidentified,N,
FLYU,Unidentified,N,
suffer,Unidentified,N,
490,Unidentified,N,
491,Unidentified,N,
FilesLocker,Unidentified,N,
dcry,Unidentified,N,
Rooster865qq,Unidentified,N,
BarRax,SZFLocker,N,
ALVIN,Unidentified,N,
MILIHPEN,Unidentified,N,
PUMAX,Unidentified,N,
SatanCryptor,Unidentified,N,
Gibon,Unidentified,N,
INDRIK,Unidentified,N,
eclr,Unidentified,N,
reddot,Unidentified,N,
zilla,Unidentified,N,
Zv7uN,Unidentified,N,
Striked,Unidentified,N,
LCKD,Unidentified,N,
"lalabitch,",Unidentified,N,
wry,Unidentified,N,
good,Alpha,N,
MAYA,Unidentified,N,
yl,Unidentified,N,
LDPR,Unidentified,N,
AYE,Unidentified,N,
CTB2,Unidentified,N,
CONTI,Unidentified,N,
predator,Unidentified,N,
RenLocker,Unidentified,N,
zhen,Unidentified,N,
ukrain,Unidentified,N,
sgood,Unidentified,N,
u'*RT4BLOCK,Unidentified,N,
hnumkhotep,Radamant,N,
EggLocker,Unidentified,N,
ninja,Unidentified,N,
TowerWeb,Unidentified,N,
odin,TeslaCrypt,N,
RANSOM,Unidentified,N,
SNPDRGN,Unidentified,N,
Booyah,Unidentified,N,
GandCrab2,Unidentified,N,
osiris,CryptXXX,N,
yG,Unidentified,N,
ygkz,Unidentified,N,
micro,TeslaCrypt,N,
RabbitFox,Unidentified,N,
Fie Extension ,File,N,
22btc,Unidentified,N,
TRMT,Unidentified,N,
jjj,Unidentified,N,
PyCL,Unidentified,N,
KEYHolder,Unidentified,N,
CoinVault,Unidentified,N,
DOCM!Sample,Unidentified,N,
Lohodf,Unidentified,N,
EnkripsiPC,Unidentified,N,
LOL!,Unidentified,N,
hbdalna,Unidentified,N,
FileSlack,Unidentified,N,
dexx,Unidentified,N,
Mischa,Unidentified,N,
qnbqw,Unidentified,N,
frtrss,Unidentified,N,
kcwenc,Unidentified,N,
lola,Unidentified,N,
sshxkej,Unidentified,N,
MATRIX,Unidentified,N,
vulston,Unidentified,N,
loli,Encrypted,N,
Mira,Unidentified,N,
PPHL,Unidentified,N,
pwnd,Unidentified,N,
BMP,Unidentified,N,
lucifer,Unidentified,N,
Calum,Unidentified,N,
Random6,Unidentified,N,
enciphered,PUBG,N,
DoppelPaymer,Unidentified,N,
JungleSec,Unidentified,N,
paybtcs,Unidentified,N,
lezp,Unidentified,N,
SyncCrypt,Unidentified,N,
R3K7M9,Unidentified,N,
reco,STOP/DJVU,N,
24H Ransomware,Unidentified,N,
EG,Unidentified,N,
velikasrbija,Unidentified,N,
dcrtr,Unidentified,N,
CommonRansom,Unidentified,N,
meduza,Unidentified,N,
gf*,Unidentified,N,
bxtyunh,Unidentified,N,
base,Unidentified,N,
asd,Unidentified,Y,Autosavefile(WordforWindows)
ironhead,Unidentified,N,
EV,Unidentified,N,
lcked,Xorist,N,
lol!,Files1147@gmail(.)com,N,
hnyear,Unidentified,N,
hacked,Unidentified,N,
lol*,Unidentified,N,
cbs0z,Unidentified,N,
nsmf,Unidentified,N,
ShellLocker,Unidentified,N,
Ims00ry,Unidentified,N,
COLORIT,Unidentified,N,
XmdXtazX,Unidentified,N,
DeriaLock,Unidentified,N,
"_LP,",Unidentified,N,
major,Unidentified,N,
R4A,Unidentified,N,
Iron,Unidentified,N,
chch,Unidentified,N,
@decrypt2017,Unidentified,N,
ApolloLocker,Unidentified,N,
wflx,Locky,N,
xiaoba6,Unidentified,N,
blank,Unidentified,N,
vesad,Unidentified,N,
WRNY,Unidentified,N,
cryptoNar,Unidentified,N,
razor,Unidentified,N,
horse,Unidentified,N,
jcrypt,Unidentified,N,
~xdata~,Unidentified,N,
FG69,Unidentified,N,
pzdc,Spora,N,
jey,Unidentified,N,
RoshaLock,Unidentified,N,
loveransisgood,Unidentified,N,
qweuirtksd,Unidentified,N,
ACTUM,Unidentified,N,
v316,Unidentified,N,
cripton,Unidentified,N,
aa1,Unidentified,N,
u'*cerber2,Unidentified,N,
moba,Unidentified,N,
u'*_HD,Unidentified,N,
u'*tflower*,Unidentified,N,
Skull,Unidentified,N,
CryptWalker,Unidentified,N,
BlockFile12,Unidentified,N,
kencf,Unidentified,N,
DMA Locker*,Unidentified,N,
Tsar,Unidentified,N,
1ywsmbo4,Unidentified,N,
zeppelin,Unidentified,N,
rnsmwre,Unidentified,N,
4rwcry4w,Unidentified,N,
Rans0m,Unidentified,N,
u'*kremez*,Unidentified,N,
ProLock,Unidentified,N,
bopador,Unidentified,N,
TRUE,Unidentified,N,
m3ga*,Unidentified,N,
nbes,Unidentified,N,
UGMH,Unidentified,N,
aaa,TeslaCrypt,N,
VIVAL,Unidentified,N,
Cancer,Unidentified,N,
lfv77az,Unidentified,N,
stn,FSociety,Y,ArcViewGeocodingStandardizationfile
Erebus,Unidentified,N,
BlackPink,Unidentified,N,
KEY,Unidentified,N,
12345,Unidentified,N,
lockme,Unidentified,N,
executioner,Unidentified,N,
jsus,Unidentified,N,
exe ,Unidentified,N,
mo2,Unidentified,N,
Petna,Unidentified,N,
888,Unidentified,N,
rtcrypted,Unidentified,N,
WAmarlocked,Unidentified,N,
js*,Unidentified,N,
cs16,Unidentified,N,
ytbl,Surprise,N,
ytbn,Unidentified,N,
li],Unidentified,N,
[XMRLocker],Unidentified,N,
stnts,Unidentified,N,
VMola,Unidentified,N,
karl,Unidentified,N,
sell,Unidentified,N,
u'Unusual,Unidentified,N,
dharma,Damage,N,
self,Unidentified,N,
mtk118,Unidentified,N,
zq,Unidentified,N,
u'_READ_THI$_FILE_*,Unidentified,N,
tirp,Unidentified,N,
ranranranran,Unidentified,N,
Alpha,Unidentified,N,
banjo,Unidentified,N,
zatrov,Unidentified,N,
encrypted_backup,Unidentified,N,
RSA-NI,Unidentified,N,
zepto,Locky,N,
jse,Unidentified,Y,JScriptEncodedScriptfile
nvetud,Unidentified,N,
udjvu,Unidentified,N,
lordofshadow,Unidentified,N,
DELTA,Unidentified,N,
vCrypt1,Unidentified,N,
mosk,Unidentified,N,
Vega,Unidentified,N,
charm,Unidentified,N,
moss,Unidentified,N,
ShutUpAndDance,Unidentified,N,
COM][JINNYG@TUTANOTA,Unidentified,N,
exe,Unidentified,Y,Directlyexecutableprogram(DOS)
keybtc@inbox_com,Fantom,N,
SaMsUnG,Unidentified,N,
li*,Unidentified,N,
ziggy,Unidentified,N,
GBLOCK,Unidentified,N,
kr,Unidentified,N,
qensvlcbymk,Unidentified,N,
ccc,Various,Y,Bitmapgraphics(nativeformat)(CurtainCall)
Cripton7zp,Unidentified,N,
PAY_IN_MAXIM_24_HOURS_OR_ALL_YOUR_FILES_WILL_BE_PERMANENTLY_DELETED_PLEASE_BE_REZONABLE_you_have_only_1_single_chance_to_make_the_payment,Unidentified,N,
OTR,Unidentified,N,
MMTeam,Unidentified,N,
blend,Unidentified,Y,Blender3Dfile
aksx,Unidentified,N,
exx,Sage,Y,IntermediatefilebyMsgPut(IBMLinkWay)
ReadTheInstructions,Unidentified,N,
Amigo,Unidentified,N,
BD,Unidentified,N,
tcprx,Unidentified,N,
rtf,Unidentified,Y,RichTextFormattextfile(many-WindowsWord)
*_RSA,Unidentified,N,
LAZPARKING-*,Unidentified,N,
Deadly,Unidentified,N,
aescrypt,Unidentified,N,
area,Unidentified,N,
djvuq,Unidentified,N,
ClicoCrypter,Unidentified,N,
AXI,Unidentified,N,
m3gac0rtx,Unidentified,N,
p3rf0rm4,Unidentified,N,
cr1,Unidentified,N,
PEGS1,Potato,N,
bwall,Unidentified,N,
Qtyu8vH5wDXf6OSWAm5NuA==ObcK,Unidentified,N,
u'*@sectex*net*,Unidentified,N,
sarbloh,Unidentified,N,
akira,Unidentified,N,
u'*RANSOMED*,Unidentified,N,
money,Unidentified,N,
RansomTrojanLock,Unidentified,N,
cekisan,Unidentified,N,
cassetto,Unidentified,N,
CRYPTOSHIELD,Unidentified,N,
paytounlock,Unidentified,N,
proced,Unidentified,N,
encryptedL,Unidentified,N,
@decrypt_2017,Unidentified,N,
Crystal,Unidentified,N,
Relock,Unidentified,N,
encryptedS,Unidentified,N,
bloked,Unidentified,N,
Satyr,Unidentified,N,
LOLI,Unidentified,N,
aes128ctr,Unidentified,N,
p3rf0rmr,Unidentified,N,
DoggeWiper,Unidentified,N,
MZR,Unidentified,N,
no_more_ransomware,Unidentified,N,
cry,Coverton,N,
~HL*,Unidentified,N,
qbix,Unidentified,N,
AG88G,Unidentified,N,
NOLOST,Unidentified,N,
Erenahen,Unidentified,N,
nelasod,Unidentified,N,
u'*djvuu,Unidentified,N,
HCY!,Unidentified,N,
ERIS!,Unidentified,N,
insane,Unidentified,N,
bart,Unidentified,N,
666decrypt666,Unidentified,N,
gerber5,Unidentified,N,
Scorpion,Unidentified,N,
b89b,Unidentified,N,
sea,Unidentified,Y,Self-ExtractingcompressedMacintoshfileArchive
rtyrtyrty,Unidentified,N,
origami,Unidentified,N,
xrtn,Unidentified,N,
u'*SIMMYWARE*,Unidentified,N,
alilibat,Unidentified,N,
Smrss32,Unidentified,N,
Ryuk,Unidentified,N,
bot!,Unidentified,N,
epsilonred,Unidentified,N,
kimchenyn,Unidentified,N,
Horse4444,Unidentified,N,
opqz,Unidentified,N,
readme,Unidentified,N,
[SSSDKVNSDFITD],Unidentified,N,
UIWIX,Unidentified,N,
BCCaEaadBA,Unidentified,N,
yarraq,Unidentified,N,
condat,Unidentified,N,
korea,Unidentified,N,
missing,Unidentified,N,
javaencrypt,Unidentified,N,
ehiz,Unidentified,N,
GX40,Unidentified,N,
pirat,Unidentified,N,
pscrypt,Unidentified,N,
isos,Unidentified,N,
JuicyLemon,Unidentified,N,
helpdecrypt@ukr_net,Unidentified,N,
SKJDTHGHH,Unidentified,N,
fedasot,Unidentified,N,
improved,Unidentified,N,
cccmn,Unidentified,N,
Consciousness,Unidentified,N,
MadBit,Unidentified,N,
crypted!Sample,Unidentified,N,
thor,Serpent,N,
anon,Unidentified,N,
rose,Unidentified,N,
sext,Unidentified,N,
SAVEYOURDATA,Unidentified,N,
technicy,Unidentified,N,
dviide,Unidentified,N,
zlpzdel,Unidentified,N,
kimcilware,Marlboro,N,
msop,Unidentified,N,
Nuke,Unidentified,N,
vbransom,Fsociety,N,
Poliex,Unidentified,N,
PoisonFang,Unidentified,N,
duk,Unidentified,N,
java,Unidentified,Y,Javasourcecodefile
crime,Unidentified,N,
HAPP,Unidentified,N,
zuzya,Unidentified,N,
py,Unidentified,Y,Pythonscriptfile
Antivirus,Unidentified,N,
HPE iLO,Unidentified,N,
SXS,Unidentified,N,
xiaoba28,Unidentified,N,
Greed,Unidentified,N,
Al-Namrood,Unidentified,N,
xiaoba24,Unidentified,N,
_HE,Unidentified,N,
brick,Unidentified,N,
xiaoba27,Unidentified,N,
xiaoba20,Unidentified,N,
icyoaezi,Unidentified,N,
xiaoba26,Unidentified,N,
skymap,Unidentified,N,
BUGWARE,Unidentified,N,
SANTANA,Unidentified,N,
0000,Unidentified,N,
reha,Unidentified,N,
CMLOCKER,Unidentified,N,
shinya,Unidentified,N,
EMAN,Unidentified,N,
c300,Unidentified,N,
CryptPethya,Unidentified,N,
CRABSLKT,Unidentified,N,
securityP,Unidentified,N,
LolSec,Unidentified,N,
T1Happy,Unidentified,N,
MoWare,Unidentified,N,
JEEPERS,Unidentified,N,
JOPE,Unidentified,N,
mdk4y,Unidentified,N,
daddycrypt,Unidentified,N,
payrms,Bitstak,N,
encrptd,Unidentified,N,
hellomynameisransom,Unidentified,N,
Done,Unidentified,N,
pennywise,Unidentified,N,
EduCrypt,Unidentified,N,
XiaoBa34,Unidentified,N,
paradox!,Unidentified,N,
morseop-7j9wrqr,Unidentified,N,
prnds,Unidentified,N,
ducky,Unidentified,N,
styx,Unidentified,N,
Digisom,Unidentified,N,
otherinformation,Unidentified,N,
psh,Unidentified,N,
rip,Xorist,Y,Graphics(RemoteAccess)
AES-NI,Unidentified,N,
rjzR8,Unidentified,N,
skype,Unidentified,N,
u'*aes_ni_gov,Unidentified,N,
MOLE02,Unidentified,N,
gryphon,Unidentified,N,
XNMMP,Unidentified,N,
CRYPTBD,Unidentified,N,
PrOtOnIs,Unidentified,N,
KillRabbit,Unidentified,N,
MOLE00,Unidentified,N,
lockedgood,Unidentified,N,
GermanWiper,Unidentified,N,
LowLevel04,Unidentified,N,
pay2me,Unidentified,N,
u'_!!!_README_!!!_*,Unidentified,N,
AES_KEY_GEN_ASSIST,Unidentified,N,
GhostCrypt,Unidentified,N,
CryptoLuck,Unidentified,N,
ViACrypt,Unidentified,N,
cezar,Unidentified,N,
cryptowall,Merry,N,
R5A,Unidentified,N,
fucku,Unidentified,N,
Lazar,Unidentified,N,
makkonahi,Unidentified,N,
*crypto,Unidentified,N,
0x004867,Unidentified,N,
PLANT,Unidentified,N,
PGPSnippet,Unidentified,N,
pr0tect,Unidentified,N,
crypt12,Unidentified,N,
brusaf,Unidentified,N,
kraken,Radamant,N,
breeding123,Unidentified,N,
com___*,Unidentified,N,
InfinityLock,Unidentified,N,
SpartCript,Unidentified,N,
oneway,Unidentified,N,
gruzin@qq_com,Unidentified,N,
avdn,Unidentified,N,
[papillon9275],Unidentified,N,
Karo,Unidentified,N,
nols,Unidentified,N,
crjocker,Unidentified,N,
egmwvm,Unidentified,N,
mention9823,Unidentified,N,
NanoLocker,Unidentified,N,
P4WN3D,Unidentified,N,
usagoo,Unidentified,N,
MarraCrypt,Unidentified,N,
db,Unidentified,Y,Configuration(dBASEIV-dBFast)
HaCk,Unidentified,N,
au1crypt,Unidentified,N,
CTB-Faker,Unidentified,N,
08kJA,Unidentified,N,
B2DR,Unidentified,N,
Bang,Unidentified,N,
PRIVAT66,Unidentified,N,
Dever,Unidentified,N,
cripttt,Unidentified,N,
NETCrypton,Unidentified,N,
crying,Unidentified,N,
u'*_READ_THIS_FILE_*_*,Unidentified,N,
RansomMine,Unidentified,N,
cum,Unidentified,N,
LockBox,Unidentified,N,
__dilmaV1,Unidentified,N,
bin,VBRansom,Y,Binaryfile
tdelf,Unidentified,N,
warn_wallet,Unidentified,N,
zorin,Unidentified,N,
freefoam,Unidentified,N,
format,Unidentified,N,
lockedv1,Unidentified,N,
frmvrlr2017,Unidentified,N,
kasp,Unidentified,N,
Aim,Unidentified,N,
redeem,Unidentified,N,
biz,Unidentified,N,
kilit,Unidentified,N,
cryptx*,Unidentified,N,
bit,Unidentified,Y,BitmapImage
bip,Unidentified,Y,Free-motioncapturefilesforcharacterstudiobiped
Project34,Unidentified,N,
lost,Unidentified,N,
Kirk,Unidentified,N,
krusop,Unidentified,N,
LockDown,Unidentified,N,
lbiaf6c8,Unidentified,N,
xiaoba25,Unidentified,N,
OOOKJYHCTVDF,Unidentified,N,
@LyDarkr,Unidentified,N,
INCANTO,Unidentified,N,
Sspq,Unidentified,N,
Silent,Unidentified,N,
duhust,Unidentified,N,
eBayWall,Unidentified,N,
PTGEPVEKM,Unidentified,N,
ncov,Unidentified,N,
Kg9EX,Unidentified,N,
palm,Unidentified,N,
volvo33_36_37_39__44,Unidentified,N,
Kaenlupuf,Unidentified,N,
LGNLCKD,Unidentified,N,
GETREKT,Unidentified,N,
EMPTY,Unidentified,N,
kropun,Unidentified,N,
gefickt,Globe,N,
PLANETARY,Unidentified,N,
emilysupp,Unidentified,N,
blocatto,Unidentified,N,
SERP,Unidentified,N,
vusad,Unidentified,N,
messenger-*,Unidentified,N,
PonyFinal,Unidentified,N,
rmd,PizzaCrypts,N,
BtcKING,Unidentified,N,
DogeCrypt,Unidentified,N,
snoopdog,Unidentified,N,
_AiraCropEncrypted!,Unidentified,N,
MIKOYAN,Unidentified,N,
lime,Unidentified,N,
iqll,Unidentified,N,
pec,Coverton,N,
Hells,Unidentified,N,
AnubisCrypt,Unidentified,N,
decryptgarranty,Unidentified,N,
zzz,Angela,N,
n1n1n1,Unidentified,N,
mijnal,Unidentified,N,
"WALAN,",Unidentified,N,
Karma,Unidentified,N,
XBTL,Unidentified,N,
armadilo1,Unidentified,N,
crypted_file,Unidentified,N,
DS335,Unidentified,N,
bliun,Unidentified,N,
CHRISTMAS,Unidentified,N,
u'*qweasd*,Unidentified,N,
Ladon,Unidentified,N,
verasto,Unidentified,N,
Alfa,Unidentified,N,
amnesia,Unidentified,N,
relock@qq_com,Unidentified,N,
PyLocky,Unidentified,N,
Golden Axe,Unidentified,N,
am,Unidentified,N,
nuke55,Unidentified,N,
yoba,Unidentified,N,
Lion,Unidentified,N,
Enjey Crypter,Unidentified,N,
Lortok,Unidentified,N,
509a49,Unidentified,N,
ru],Unidentified,N,
AutoWannaCryV2,Unidentified,N,
gamma,Unidentified,N,
BitCryptor,Unidentified,N,
Com],Unidentified,N,
plam,Unidentified,N,
CryptoRoger,Unidentified,N,
url,Unidentified,Y,UniformResourceLocator(Internetshortcut)
NET,Unidentified,N,
TeslaWare,Unidentified,N,
kkll,Unidentified,N,
coin,Unidentified,N,
UnblockUPC,Unidentified,N,
ppam,Unidentified,N,
kyra,Samas/SamSam,N,
raldge,Unidentified,N,
fast,Unidentified,N,
MauriGo,Unidentified,N,
lldc,Unidentified,N,
infected,Unidentified,N,
u',Unidentified,N,
LambdaLocker,Unidentified,N,
msj,Unidentified,N,
pezi,Unidentified,N,
zerofucks,Unidentified,N,
verschl\xfcsselt,Unidentified,N,
STOPDATA,Unidentified,N,
kolz,Unidentified,N,
{*-*-*-*},Unidentified,N,
m3g4c0rtx,Unidentified,N,
VACv2,Unidentified,N,
D00mEd,Unidentified,N,
game,Unidentified,N,
YOU-ARE-FUCKED-BY-BALILUWARE-(CODED-BY-HEROPOINT),Unidentified,N,
ifuckedyou,Jigsaw,N,
ITLOCK,Unidentified,N,
WannaScream,Unidentified,N,
azor,Unidentified,N,
junior,Unidentified,N,
lina,Unidentified,N,
sdk,Unidentified,N,
info,KeRanger,N,
anubi,Unidentified,N,
1dec,Unidentified,N,
grinch,Unidentified,N,
CryptFuck,Unidentified,N,
InfiniteTear,Unidentified,N,
popoticus,Unidentified,N,
p3d374,Unidentified,N,
jcry,Unidentified,N,
b4wq,Unidentified,N,
rsalive,Unidentified,N,
xiaoba33,Unidentified,N,
xiaoba32,Unidentified,N,
xiaoba31,Unidentified,N,
xiaoba30,Unidentified,N,
PowerWare,Unidentified,N,
grovat,Unidentified,N,
LOCKED_PAY,Unidentified,N,
grovas,Unidentified,N,
lock2bits,Unidentified,N,
creeper,Unidentified,N,
wholocked,Unidentified,N,
kernel_time,KeRanger,N,
odcodc,TeslaCrypt,N,
mame*vse,Unidentified,N,
birbb,Unidentified,N,
SerbRansom,Unidentified,N,
XY6LR,Unidentified,N,
Ragnar,Unidentified,N,
phantom,Unidentified,N,
Roga,Unidentified,N,
grt,Jigsaw,N,
FLAMINGO,Unidentified,N,
paradox,Unidentified,N,
crypz,Scatter,N,
tohnichi,Unidentified,N,
boooam@cock_li,Unidentified,N,
AUF,Unidentified,N,
WannaRen,Unidentified,N,
dealemail,Unidentified,N,
hex911,Unidentified,N,
club,Unidentified,N,
LIZARD,Unidentified,N,
CryptConsole3,Unidentified,N,
coded,PayDay,N,
Enc1,Unidentified,N,
nat,Unidentified,N,
AresCrypt,Unidentified,N,
TXT,Unidentified,N,
theworldisyours,Kostya,N,
dale,TeslaCrypt,N,
r44s,Unidentified,N,
Horriblemorning,Unidentified,N,
clean,Unidentified,N,
DIABLO6,Unidentified,N,
xncrypt,Unidentified,N,
nermer,Unidentified,N,
Wesker,Unidentified,N,
heets,Unidentified,N,
TEST,Unidentified,N,
Losers,Unidentified,N,
CYBERGOD,Unidentified,N,
NMoreira,Unidentified,N,
write_us_on_email,Unidentified,N,
WildFire,Unidentified,N,
Extractor,Unidentified,N,
ako,Unidentified,N,
DryCry,Unidentified,N,
enjey,Unidentified,N,
pizhon-*,Unidentified,N,
MSPLT,Unidentified,N,
age,Unidentified,N,
TR,Unidentified,N,
cryp1,Cerber,N,
aga,Unidentified,N,
Waffle,Unidentified,N,
TG33,Unidentified,N,
lnk,Unidentified,Y,WindowsShortcutfile
FTCODE,Unidentified,N,
fresh,Unidentified,N,
Snaiparul,Unidentified,N,
52pojie,Unidentified,N,
CCCRRRPPP,Unlock92,N,
xcry7684,Unidentified,N,
Mercury,Unidentified,N,
decrypt2017,Various,N,
code,Unidentified,N,
0l0lqq,Unidentified,N,
qQ6Q,Unidentified,N,
billingsupp,Unidentified,N,
nuksus,Unidentified,N,
nozelesn,Unidentified,N,
filock,Unidentified,N,
breaking_bad,Anubis,N,
bigdata,Unidentified,N,
alien,Unidentified,N,
Hydra,Unidentified,N,
