!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
lic	Licensefile(Shareware)
lid	KodakGalleryAlbumfile
lif	LogicalInterchangeFormatdatafile(Hewlett-Packard)
lim	CompressedfilearchivecreatedbyLIMIT(limit12.zip)
lin	Linetypes(AutoCAD)
lis	Listing(VAX)
lit	MSReadereBookfile
lix	ExtendSimulationLibraryfile
lj	TextfileforHPLJIIprinter
lko	MSOutlookExpressLinkedObject
ll3	LaplinkIIIrelatedfile(document)(LapLinkIII)
lmp	LumpFile
lmt	NokiaPCSuiteLogfile
lnd	3DLandscapeData
lng	AdobeAcrobatLanguagePluginfile
lnk	WindowsShortcutfile
loc	MicroSimPCBoardComponentLocationsReport
lod	Loadfile
log	Logfile
lok	Encryptedandcompressedarchiveformat(FileWrangler,
lpc	Printerdriver(TEKO)
lpd	HelixNutsandBoltsFile
lpf	Lytec'sDirectElectronicMedicalClaimsClaimsDirect
lpi	LivePictures
lpk	LicensedActiveXControlforInternetExplorer.
lrf	Linkerresponsefile(MSC/C++)
lrs	LanguageResourceFile(WordPerfectforWin)
lse	NokiaAudioManager
lsf	StreamingAudio/Videofile
lsl	LotusScriptLibrary
lsp	Lispsourcecodefile(Xlisp)
lss	Spreadsheet(Legato)
lst	Keyboardmacro(1stReader)
lt2	efrontierPoserfile
ltm	Form(LotusForms)
ltr	Letter
lua	LuaSourceCodefile
lvl	GameLevelfile
lvp	LucentVoicePlayer
lwa	LightWorksArchiveMaterial/Scenefile
lwd	Textdocument(LotusWorks)
lwo	NewTekLightwaveObject
lwp	IBMWordPro/LotusWordPro96/97documentfile
lwz	MSLinguisticallyEnhancedSoundfile
lx	Lexico-fileswithsourcecode
lyr	DataCADLayerfile
lzd	Differencefileforbinaries(Ldiff1.20)
lzh	CompressedfilearchivecreatedbyLHA/LHARC(lha255b.exe)
lzs	CompressedfilearchivecreatedbyLARC(larc333.zip)
lzw	CompressedAmigafilearchivecreatedbyLHWARP
lzx	Compressedfile
m	Function(program)(Matlab)
m11	Textfile(MASS11)
m1v	MPEG-1Videofile
m2p	MPEG-2ProgramStreamFormatfile
m2ts	BDAVMPEG-2file
m2v	MPEG-2VideoOnlyfile
m3	Modula3sourcecodefile
m3d	3Danimationmacro
m3u	MusicPlaylist(Winamp)
m4	M4preprocessorfile(unix)
m4a	MPEG-4AudioLayer
m4b	MPEG-4AudioBookfile
m4p	MPEG-4EncodedAudiofile
m4r	iPhoneRingtonefile
m4v	AppleVideofile
m_u	Backupofbootsector,FATandbootdir(MazeGold)
ma3	Macro(HarvardGraphics3.0)
mac	Bitmapgraphics(MacintoshMacPaint)
mad	MSAccessModuleShortcut
maff	MozillaArchiveFormatfile
mag	WoodyLynn'sMAGgraphicsformat(MPSMagroPaintSystem)
mai	Mail(VAX)
mak	Makefile
man	Commandmanual
map	Colorpalette
mar	MozillaArchive
mas	Smartmasterset(FreelanceGraphics)
mat	Datafile(Matlab)
max	Maxsourcecodefile
mb	Memofieldvaluesfordatabase(Paradox)
mbf	MSMoneyBackupfile
mbk	Multipleindexfilebackup(dBASEIV)
mbx	Mailbox(Eudora/Zerberus)
mcc	Configurationfile(Mathcad)
mcd	Document(Mathcad)
mcf	Mathcadfont
mci	Mcicommandscript(MediaControlInterface)
mcp	Applicationscript(Capsule)
mcr	DataCADKeyboardmacrofile
mcw	Textfile(MacWriteII)
mcx	Graphicfile
md	CompressedfilearchivecreatedbyMDCD(mdcd10.arc)
md5	MD5Checksumfile
mda	Data(MSAccess)
mdb	Database(MSAccess)
mde	MicrosoftAccessMDEdatabase
mdf	AccelioCaptureClassic(JetForm)Filler
mdi	MicrosoftOffice2003imagingformat
mdk	KeyboardMapfile
mdl	Model(3DDesignPlus)
mdm	Modemdefinition(TELIX)
mdmp	MicrosoftWindowsXPTroubleReport
mdr	FaxTalkModemDoctorModemReportfile
mdt	Datatable(MSILinkincrementallinker)
mdx	Multipleindexfile(dBASEIV)
mdz	MSAccessWizardTemplate
me	UsuallyASCIItextfileREAD.ME
meb	MacroEditorbottomoverflowfile(WordPerfectLibrary)
med	MacroEditordeletesave(WordPerfectLibrary)
mem	MacroEditormacro(WordPerfectLibrary)
meq	MacroEditorprintqueuefile(WordPerfectLibrary)
mer	MacroEditorresidentarea(WordPerfectLibrary)
mes	MacroEditorworkspacefile(WordPerfectLibrary)
met	Document(OmnipagePro)
meu	Menugroup(DOSShell)
mex	Mexfile(executablecommand)(Matlab)
mf	Metafonttextfile
mfx	ImageMAKERFaxViewerfolderfile
mgf	Font(Micrografx)
mgi	ModularGatewayInterface
mgp	MagicPointPresentationfile
mhp	MSHomePublishingProject
mht	MSMHTMLDocument
mia	MusicIndiaOnlineplayermusicfile
mib	SnmpMIBfile
mic	MicrosoftImageComposerfile
mid	StandardMIDIfile(musicsynthetizers)
mif	MakerInterchangeFormat(FrameMaker)
mii	Datafile(MicroStat-II)
mim	MIMEfile
mio	MultimediaInteractiveObject
mip	PaintShopProMultipleImagePrintfile
mis	DeltaForceLandWarriorMission
mix	Objectfile(PowerC)
mk	Makefile
mkd	PervasiveBtrievefiles
mke	Makefile(MSWindowsSDK)
mki	JapanesegraphicsMAKIchanformat(MagView0.5)
mks	Data(TACT)
ml3	Project(Milestones3.x)
mlb	Macrolibraryfile(Symphony)
mlm	NovelGroupwisee-mailfile
mm	Textfile(MultiMateAdvantageII)
mmc	MediaCatalog
mmd	Peristudio/PeriProducerfile
mmf	Mailmessagefile(MSMail)
mml	MailMetaLanguage
mmm	Movie(RIFFRMMPformat)(MacroMindDirector3.x)
mmo	Memowriterfile(RapidFile)
mmp	OutputvideoformatfromBravadoboard
mmx	Command&ConquerRedAlert2Mapfile
mmz	MusicMatchThemefile
mnd	Menusource(AutoCADMenuCompiler)
mng	Map(DeLormeMap'n'Go)
mnt	Menumemo(FoxPro)
mnu	Advancedmacro(HPNewWave)
mnx	Compiledmenu(AutoCAD)
mny	Accountbook(MSMoney)
mob	Devicedefinition(PENWindows)
mod	Modula-2sourcecodefile(ClarionModula-2)
mol	MDLMolfile
mon	Monitordescription(ReadMail)
mov	QuickTimeVideoClip
mp2	Mpegaudiofile(xing)
mp3	mp3PROAudiofile
mp4	MPEG-4VideoFile
mpa	MPEGAudioStream,LayerI,IIorIII
mpc	Calenderfile(MSProject)
mpd	MSProjectdatabasefile
mpe	MPEGMovieClip
mpeg	MPEGMovieClip
mpf	MSDesignGallery
mpg	MPEG-1animation
mpl	PlaylistDatafile
mpls	Blu-rayInformationfile
mpm	Mathplanmacro(WordPerfectLibrary)
mpp	Projectfile(MSProject)
mpq	BlizzardGameDatafile
mpr	Generatedprogram(FoxPro)
mps	MultimediaFile
mpt	Bitmapgraphics(MultipageTIFF)
mpv	Viewfile(MSProject)
mpw	MosASCIIProjectWorkspacefile
mpx	Compiledmenuprogram(FoxPro)
mrb	MultipleResolutionBitmapgraphics(MSC/C++)
mrc	MIRCScriptfile
mrk	InformativeGraphicsmarkupfile
mrs	MacroResourcefile(WordPerfectforWin)
msc	MSCmakefile
msd	MSDiagnosticUtilityReport
msf	MultipleSequencefile
msg	Message
msi	WindowsInstallerfile
msm	MultiSIMCircuitDiagram
msn	MSNContentPlusfile
mso	MathScriptObjectfile
msp	Bitmapgraphics(MicrosoftPaint)
mspx	XMLbasedWebPage
mss	Manuscripttextfile(PerfectWriter-Scribble-MINCE-
mst	ChemFinderChemicalStructureIndex
msu	WindowsUpdatefile
msv	SonyMemoryStickFormat
msw	Textfile(MSWord)
mswmm	WindowsMovieMakerProject
msx	CompressedCP/MfilearchivecreatedbyMSX
mtd	DigitalSheetMusic
mth	Mathfile(Derive)
mtm	MultitrackerModulemusic
mts	AVCHDVideofile
mtv	MTVMusicGenerator
mtw	Datafile(Minitab)
mtx	TemporaryFileoftenusedbyabrowserorTWAINdevice
mu	Menu(QuattroPro)
mu3	MyriadMusicfile(packedsounds&digitaltracks)
muf	ProtoMuckMultiUserForthProgram
mul	UltimaOnlineGame
mus	MusicTimeSoundfile
mvb	Database
mvc	MusicCollectorCollectionManagerfile
mvd	MicroDVD(DVDmoviefile)
mvf	Stopframefile(AutoCADAutoFlix)
mvi	Moviecommandfile(AutoCADAutoFlix)
mvw	Logfile(SaberLAN)
mwf	Animation(ProMotion)
mwp	LotusWordpro97Smartmasterfile
mws	MapleWorksheetFile
mwv	MovieWorksfile
mxd	GISProjectfile
mxe	MacroExpress
mxf	MaterialeXchangeFormatfortheinterchangeof
mxl	MoxcelSpreadsheetFile
mxm	MSProject/OutlookTeamAssignTask
mxp	MacromediaExtensionManager
mxt	Data(MSC)
myp	Presentation(MMMakeYourPoint)
myr	MyriadMusicfile
mys	MystSavedGame
myt	MyriadTutorialfile
mzp	MaxscriptCompressedFile
na2	NetscapeMailfile
nam	MSOfficeNamefile
nap	Naplpsfile(VideoShow)(EnerGraphics)
nav	MSNApplicationExtension
nb	Textfile(NotaBene)
nbf	BackupNowBackupfile
nbu	NokiaPCSuiteBackupfile
nc	Graphics(netcdf)
ncb	MSDeveloperStudiofile
ncc	Cnc(ComputerNumericControl)controlfile(CamView3D)
ncd	NeroCoverDesignerDocumentfile
ncf	LotusNotesInternalClipboard
nch	OutlookExpressfolderfile
nd5	NDSRenamedfile
ndb	Networkdatabase(Intellicom-Compex)
nde	Videoformat-variousmanufacturesofsurveillancecamera
ndf	NeoPlanetBrowserFile
ndk	LotusNotes(containingthefilesrelatedtoworkspace)
ndx	Indexfile(dBASEII-III-IV-dBFast)
neb	NortecH.E.L.P.
ned	MSNApplicationExtension
nef	Nikon'sRAWformatfordigitalcameras(NikonElectronic
neo	Rastergraphics(AtariNeochrome)
nes	NintendoEntertainmentSystemROMImage
net	Networkconfiguration/infofile
new	Newinfo
nfo	Infofile
ng	Onlinedocumentationdatabase(NortonGuide)
ngf	EnterasysNetworksNetSightgeneratedformatfile
ngg	NokiaGroupGraphics
nh	NetHackfile
nib	AdobeAIRfile
nif	NetImmerseFileFormat
njb	PhotoIndexfile
nlm	NetwareLoadableModule
nls	CodePageNationalLanguageSupport
nlx	Form(FormWorx3.0)
nmd	SwordSearcherfile
nmi	SwordSearcherfile
nmo	VirtoolsBehavioralObjects
nms	NumegaSoftice'sLoaderfile
nnb	newnovelistStoryOutline
nob	VersaProWordExchangefile
nol	NokiaOperatorLogo
not	AcrobatSpellingfile
now	Textfile
np	Projectschedule(NokiaPlanner)(VisualPlanner3.x)
npa	ReliaSoftWeibull++6
npf	BackupNowImagefile
npi	SourceforDGEN.EXEintepreter(dBASEApplication
nra	NeroAudio-CDCompilation
nrb	NeroCD-ROMBootCompilation
nrg	NortonRegistrationEntries
nri	NeroISOCD-ROMcompilation
nrl	iManagefile
nrw	NeroWMACompilationfile
nsc	Noderfile(Polish)
nsf	LotusNotes/Dominodatabase
nsi	NullsoftInstallSystemScript
nst	Music(NoiseTracker)
nt	Startupfiles(WindowsNT)
ntf	LotusNotes/Dominotemplatefile
nth	NokiaThemefile
ntp	NeatoCDLabels
ntr	ExecutableASCIItextfile(stripheaderandrename)
nts	Tutorial(Norton)
ntx	Index(Clipper5)
ntz	InVircibleDirectoryIntegrityInformation
nu4	NortonUtilitiesRootFile(DLL)SymantecCorporation
nuf	Messagefornewusersontheir1stcall(ProcommPlus)
numbers	iWorkNumbersSpreadsheetfile
nup	ProgramComponentUpdatefiles
nvc	NeroVisionProjectfile
nvm	AOLpressHelpfile
nwc	NoteworthyComposersongfile
nws	Infotextfile(latestnews)(ASCII)
nwr	NewWorldReportAegis/MSPLawEnforcementRecords(New
nwt	NewWorldTextAegis/MSPLawEnforcementRecords(NewWorld
nxt	Sound(NeXTformat)
nzb	NewsBinIndexfile
o	Objectfile(unix-Atari-GCC)
o$$	Outfile(Sprint)
oaz	Fax(NetFaxManager)
ob	Objectcut/pastefile(IBMLinkWay)
obd	MSOfficeBinder
obj	Objectcode(IntelRecolatableObjectModule)
obr	Objectbrowserdatafile(BorlandC++)
obs	Script(ObjectScript)
obv	Visualinterface(ObjectScript)
oca	ControlTypelibCache
ocf	ObjectCraftFile(ObjectCraft)
ocm	AOLAdvertisingControlfiles
ocp	AdvancedArtStudio
ocr	Incomingfaxtranscribedtotext(FAXGrapper)
oct	RadianceOctreeFormat
ocx	OLEActiveXcustomcontrol
odf	OpenDocumentInterchange
odg	OpenDocumentGraphicfile
odl	Typelibrarysource(VisualC++)
odp	OpenOfficePresentationfile
ods	OpenOfficeSpreadsheetfile
odt	OpenOfficeOpenDocumenttextdocument
oeb	OutlookExpressBackupWizard
oem	TextSetupOEMfile
ofc	OpenFinancialConnectivityfile
ofd	Formdefinition(ObjectView)
off	ObjectFileFormatvectorgraphics
ofm	Adobefont
oft	MSOutlookItemTemplate
ofx	OlicomFax
ogg	OggVorbisCodecCompressedWAVfile
ogm	OggVorbisCompressedVideofile
ogv	VideoContainerfile
okt	Music(Oktalizer)
olb	Objectlibrary(VAX)
old	Backupfile
ole	ObjectLinkingandEmbeddingObject
oli	Textfile(Olivetti)
oma	OpenMGMusicfile
omf	OpenMediafile
omg	OpenMGJukebox
oms	BriggsSoftworksOrderMaven
ond	LotusNotes-relatedfile
one	OneNoteDocumentFile
ont	Biblefile
oom	Swapfile(Shroom)
opd	Omnipagefile
opf	FlipAlbumfile
opl	PsionOrganiserProgrammingLanguageSourcefile
opn	Activeoptions(Exact)
ops	MicrosoftOfficeprofilesettingsfile
opt	Optimizesupportfile(QEMM)
opw	Organizationchart(OrgPlusforWindows)
opx	Inactiveoptions(Exact)
or2	LotusOrganizer2file
or3	LotusOrganizer97file
or4	LotusOrganizerfile
or5	LotusOrganizerfile
ora	Parameterfile(Oracle)
org	Calendarfile(LotusOrganizer)
osd	OpenSoftwareDescriptionfile
oss	MSOfficeSavedSearch
ost	MicrosoftOutlookOfflinefile
otf	OpenTypeFormat
otl	Outlinefontdescription(Z-SoftTypeFoundry)
otx	Textfile(OlivettiOlitextPlus)
out	Outputfile
ov1	Overlayfile(partofprogramtobeloadedwhenneeded)
ov2	Overlayfile(partofprogramtobeloadedwhenneeded)
ovd	Datafile(ObjectVision)
ovl	Overlayfile(partofprogramtobeloadedwhenneeded)
ovr	Overlayfile(partofprogramtobeloadedwhenneeded)
ovw	CoolEditProOverviewfile
ows	WebStudio2Projectfile
oxt	OpenOfficeExtensionfile
p	Pascalsourcecodefile
p16	Music(16channels)(ProTrackerStudio16)
p22	Patchfile(Patch22)
p65	AdobePagemakerv6.5
p7m	PKCS#7MIMEMessage
pa	PrintArtist
pa1	Worktable(PageAhead)
pab	MicrosoftOutlookpersonaladdressbook
pac	StadImage(graphics?)
pack	Pack2000Compressedfile
pad	Keypaddefinition(Telemate)
paf	PARISaudioformat
pages	Pagesdocument
pak	CompressedfilearchivecreatedbyPAK(pak251.exe)
pal	AdobePagemakerLibraryPalette
pan	Printer-specificfile(copytocoreldrw.ink)(CorelDRAW)
par	Partsapplication(DigitalkPARTS)
pas	Pascalsourcecodefile
pat	Hatchpatterns(AutoCAD-Photostyler)
pax	PaxArchivefile
pb	Fax(FAXabilityPlus)
pb1	Document(FirstPublisherforWindows)
pba	PowerbasicBASICsourcecode(Genus)
pbd	Phonebook(FaxNOW!-Faxit)
pbf	TurtleBeachPinnacleBankfile
pbi	Powerbasicincludefile(Genus)
pbk	MicrosoftXPRemoteAccessPhonebookfile
pbl	Powerbasiclibrary(Genus)
pbm	PbmPortableBitMapgraphics
pbo	ProfilerBinaryOutput(MSSourceProfiler)
pbr	MicrosoftPublisherbackupfile
pbt	ProfilerBinaryTable(MSSourceProfiler)
pc	TextfilecontainingIBMPCspecificinfo
pc3	Custompalette(HarvardGraphics3.0)
pc8	AsciitextIBM8characterset(NewWaveWrite)
pca	CashRegisterExpressprogram
pcb	BroderbundPrintShopBusinessCard
pcc	Cutoutpicturevectorgraphics(PCPaintbrush)
pcd	Graphics(KodakPhotoCD)
pcf	ProfileConfigurationfile
pch	Patchfile
pcj	Multimediaauthoringtoolgraphics(IBM'sLinkaway-Live)
pck	ReceivedPackagefile
pcl	HP-PCLgraphicsdata(HPPrinterControlLanguage)
pcm	PlasmacamCAD/CAMsystemfile
pcs	PICSAnimation
pct	BitmapGraphic
pcw	Textfile(PCWrite)
pcx	Bitmapgraphics(PCPaintbrush)
pd	SynerGEEStonersoftwarefiles(compressiblepipeflow
pda	Bitmapgraphics
pdb	Data(TACT)
pdc	PersonalDatabaseCreatorfile
pdd	AdobePhotoDeluxeImage
pde	PrincipalmDataExtractfiles
pdf	AdobePortableDocumentFormat
pdg	PrintshopDeluxefiles
pdl	ProjectDescriptionLanguagefile(BorlandC++4.5)
pdr	Portorprinterdriver
pds	Incredimail
pdt	ProCitePrimaryDatabase
pdv	Printerdriver(Paintbrush)
pdw	Document(ProfessionalDraw)
pdx	AdobeAcrobatIndexfile
pe4	PhotoExplorerThumbnail
pea	PeaZipCompressedFileArchivedfiles
peb	ProgramEditorbottomoverflowfile(WordPerfectLibrary)
ped	ProgramEditordeletesave(WordPerfectLibrary)
pem	ProgramEditormacro(WordPerfectLibrary)
peq	ProgramEditorprintqueuefile(WordPerfectLibrary)
per	ProgramEditorresidentarea(WordPerfectLibrary)
pes	ProgramEditorworkspacefile(WordPerfectLibrary)
pet	ProgramEditortopoverflowfile(WordPerfectLibrary)
pf	WindowsPrefetchfile
pfa	Type3fontfile(unhintedPostScriptfont)
pfb	Type1PostScriptfontfile
pfc	Textfile(FirstChoice)
pfg	jEEPersfile
pfk	Programmablefunctionkeys(XTreePro)
pfl	FamilyLawyerDatafile
pfm	WindowsType1fontmetricfile
pfs	Database(PFS:FILE)-textfile(PFS:Write)
pft	Printerfont(ChiWriter)
pg	PagefoxFile
pgi	PrinterGraphicsFiledevicedriver(PGRAPHlibrary)
pgm	PortableGrayscalebitMapgraphics
pgp	Supportfile(PrettyGoodPrivacyRSASystem)
pgs	Manualpage(man4dos)
ph	Optimized.gohfile(Geoworks)
phb	NewLeafPhraseBook
phn	Phonelist(UltraFax-QmodemPro)
php	PHPScript
pho	Phonedatabase(MetzPhoneforWindows)
phr	Phrases(LocoScript)
phtml	PHPScript
pic	Pixarpicturefile(SDSCImageTool)
pif	ProgramInformationFile(Windows3.x)
pim	PIMArchivefile
pip	Personalizedmenuandtoolbar(MSOffice)
pit	CompressedMacfilearchivecreatedbyPACKIT
pix	Aliasimagefile(SDSCImageTool)
pj64	Project64gamefiles.mswmmWindowsMovieMakerProject
pj	Project(CA-SuperProject)
pjt	Projectmemo(FoxPro)
pjx	Project(FoxPro)
pk	Packedbitmapfontbitmapfile(TeXDVIdrivers)
pk3	AmericanMcGeeAliceArchive
pka	CompressedfilearchivecreatedbyPKARC
pkd	TopSecretCryptoGoldfile
pkg	Installerscript(Next)
pkk	PrivateKeyfile
pkt	PacketTracerNetworkSimulationfile
pl	Perlsourcecodefile
pl1	Roomplan(3DHomeArchitect)
pl3	Chartpalette(HarvardGraphics3.0)
plb	Library(FoxPro)
plc	Add-infile(functions-macros-applications)(Lotus
pll	Pre-linkedlibrary(Clipper5)
pln	Spreadsheet(WordPerfectforWin)
plr	DescentPilotfile
pls	DisorderTracker2Sample
plt	AutoCADHPGLVectorGraphicPlotterfile
pmv	PegasusMailFilterRulefile
pmx	PegasusMailfile
pn3	Printerdevicedriver(HarvardGraphics3.0)
pnf	PrecompiledSetupInformation(Temporaryfileseenduring
png	Bitmapgraphics(PortableNetworkGraphics)
pnm	PbmPortableaNyMap(PNM)graphics
pnt	Macintoshpainting
pod	OPENPROJProjectfile
poh	Optimized.gohfile(Geoworks)
poi	Pointofinterestfile
pop	Messagesindex(PopMail)
pos	ProCiteOutputStyles
pot	PowerPointtemplate
potx	PowerPointOpenXMLTemplatefile
pov	Raytracedscenedescriptionfile(PersistenceOfVision)
pow	Chordchart(PowerChords)
pp	FreePascalSourceCodefile
ppa	PowerPointAdd-in
ppb	ButtonbarforPrintPreview(WordPerfectforWin)
ppd	PostScriptPrinterDescription(Acrobat)
ppf	TurtleBeachPinnacleProgramfile
ppg	MSPowerPointPpresentation
ppl	PolaroidpaletteplusColorKeydevicedriver(Harvard
ppm	PortablePixelMapgraphics
ppo	Pre-processoroutput(Clipper5)
ppp	Publication(PagePlus)
pps	PowerPointSlideshow
ppsx	MSOfficePowerPointSlideShowfile
ppt	Generalfileextension(PowerPoint)
ppz	PowerPointPackagedPresentation
pqa	PalmQueryApplicationFile(databaseforwirelessaccess)
pqi	PowerQuestDriveimaging
pr2	Presentation(AldusPersuasion2.x)
pr2	Printerdriver(dBASEIV)
pr3	Postscriptprinterdriver(dBASEIV)
prc	CorelPresentationfile
prd	Printerdriver(many)
pre	Presentation(FreelanceGraphics)
prf	PixelRunFormatgraphics(Improces-Fastgraph)
prg	Program(Atari)
pri	Printerdefinitions(LocoScript)
prj	Project
prm	Parameters
prn	DataCADWindowsPrinterfile
pro	Prologsourcecodefile
prs	PrinterResourceeg.fonts(WordPerfectforWin)
prt	CADKEYPartfile
prx	WindowsMediaSettingsfile
prz	FreelanceGraphics97file
ps	PostScriptfile(text/graphics)(ASCII)
ps2	PostScriptLevel2file
psb	PinnacleSoundBank
psd	AdobePhotoshopfile
pse	Bitmapgraphics(IBMprinterPageSEgment)
psf	PhotoshopProofSettingsfile
psi	PSIONA-lawAudio
psm	Music(MASI-ProTracker)
psmdoc	PrintShopMail
psp	PaintShopProImage
psr	ProjectSchedulerResourcefile
pst	MSOutlookpersonalfolder
psw	WinXPBackupPasswordFile
pt3	Devicedriver(HarvardGraphics3.0)
pt4	Template(PageMaker4)
ptb	Script(PubTechBatchWorks)
ptm	Macro(PubTechBatchWorks)
ptn	PaperPortThumbnailImages
ptp	Act!ModemSyncfile
ptr	Qwkreaderpointerfile(QMail)
pts	InfinityEngineGameTileset
ptx	RealLegalE-Transcript
pub	Pagetemplate(MSPublisher)
put	CompressedfilearchivecreatedbyPUT(put334.zip)
puz	AcrossLiteCrosswordPuzzle
pva	HauppaugeDVB-Software
pvd	Script(Instalit)
pvm	ParallelVirtualMachinesoftwarelibrary
pvl	Library(Instalit)
pvt	LocalFidonetpointlist
pw	Textfile(ProfessionalWrite)
pwd	PocketWorddocument
pwf	ProCiteWorkforms
pwi	PocketWorddocument
pwl	PasswordList
pwm	WebMoneyPursefile
pwp	Textdocument(ProfessionalWritePlus)
pwz	MSPowerpointWizard
px	Primarydatabaseindex(Paradox)
pxl	PocketExcelSpreadsheet
pxv	ModelworksProjectFileusedinJPadProandSitePadPro
py	Pythonscriptfile
pyc	CompiledPYTHONscriptfile
pyd	BinaryPythonExtensiononWindows
pyw	PythonGUIScriptonWindows
pz2	CuriousLabsPoserPosefile
pz3	CuriousLabsPoserDocument
pza	MGIPhotoSuiteII/III/4Albumfile
pzd	Defaultsettings(PizazzPlus)
pzl	Jigs@wPuzzle
pzo	Overlayfile(PizazzPlus)
pzp	MGIPhotoSuiteII/III/4Projectfile
pzs	Settings(PizazzPlus)
pzt	Transferfile(PizazzPlus)
pzx	Swapfile(PizazzPlus)
q05	IntuitCanadaQuicktaxfile,taxreturnfile
q9q	BladeProGraphicPluginfile
qad	QuickArtdatabase
qag	QuickAccessGroup(NortonDesktop)
qap	Application(OmnisQuartz)
qbb	QuickBooksforWindowsBackupfile
qbe	Savedquery(QueryByExample)(dBASEIV-QuattroPro)
qbk	IntuitCanadaQuicktaxfile,backupcopyoftaxreturn
qbl	BusinessLawyerDocument
qbo	Compiledquery(dBASEIV)
qbr	QuickBooksReport
qbw	Spreadsheet(QuickBooksforWindows)
qcn	QualcommPhonebookfile
qcp	QualcommPureVoiceFile
qd0	Datafile-segment10(OmnisQuartz)
qd1	Datafile-segment1(OmnisQuartz)
qd2	Datafile-segment2(OmnisQuartz)
qd3	Datafile-segment3(OmnisQuartz)
qd4	Datafile-segment4(OmnisQuartz)
qd5	Datafile-segment5(OmnisQuartz)
qd6	Datafile-segment6(OmnisQuartz)
qd7	Datafile-segment7(OmnisQuartz)
qd8	Datafile-segment8(OmnisQuartz)
qd9	Datafile-segment9(OmnisQuartz)
qdat	QuicktimeInstallerCache
qdb	Quickendatafile
qdf	QuickenforWindowsdatafile
qdt	QuarkXpressDictionaryfile
qdv	Graphics(SteveBlackstockGiffer)
qe4	KingpinProjectfile
qef	Queryfile(Q+EforMSExcel)
qel	QuickenElectronicLibraryfile
qfl	QuickenFamilyLawyerfile
qfx	QuickenFinancialExchangefile
qhf	QIPPDAHistoryfile
qic	BackupsetforMicrosoftBackup
qif	QuickenInterchangeFormat
qix	NovaStarBackupfile
qlb	Quicklibrary(MSC/C++)
qlc	Data(PostScripthelpfile)atmfonts.qlc
qlf	FamilyTreeMakerGenealogyfile
qlp	Printerdriver(QuickLink)
qm4	Optionsorservicesfile(QMail4.xMailDoor)
qm	VirtualBoxLanguagefile
qml	QuickMarkupLanguagefile
qph	IntuitQuickenPriceHistoryfile
qpr	Generatedqueryprogram(FoxPro)
qpw	QuattroProProjectfile
qpx	Compiledqueryprogram(FoxPro)
qrp	QuickReportReportfiles
qrs	EquationEditorsupportfile(WordPerfectforWin)
qrt	Qrtraytracinggraphics
qru	SQLQueryfile
qry	Query(dBASEIV)
qsd	QuickenforWindowsdatafile
qsi	QuintessentialStereotaxicInjectorCommanderlogfiles
qst	QuakeSpyTabfile
qt	Quicktimemovie(animation)
qtc	InciteMediaAssistantfile
qtk	AppleQuickTakefileformatforWindows
qtl	QuickTimeMediaLinkfile
qtp	QuickTimePreferences
qts	MacintoshPICTimage
qtx	QuickTimeimage
que	CuteFTPQueuefile
qvm	Quakefile
qvs	CasioDigitalCamerafile
qw	SymantecQ&AWritefile
qwk	QWKreadermessagefile
qxd	QuarkXPressdocumentfileformat
qxl	Elementlibrary(QuarkXPress)
qxp	QuarkXPressprojectfile
qxt	Templatefile(QuarkXpress)
r	Ratfor(FORTRANpreprosessor)file
r33	TrainSimulatorGamefile
r8	Rawgraphics(onebyteperpixel)planeone(PicLab)
r8p	Pcl4bitmapfontfile(Intellifont)
ra	Music(RealAudio)
ram	Ramfile(RealAudio)
rar	CompressedfilearchivecreatedbyRAR(rar1_402.exe)
ras	SunRasterfilegraphics
rat	Datafile(RATS)
raw	RawRGB24-bitgraphics
rb	RubyonRailsclassfile
rbf	WindowsInstallerRollbackfile
rbn	Richard'sBridgeNotation
rbs	WindowsInstallerRollbackScriptfile
rbx	FormatforplayingRapidPlayerv3.0ActiveXControlin
rc	Resourcescript(VisualC/C++-BorlandC++)
rcf	RhapsodyStoragefile
rcg	Netscapenewsgroupfile(netsc.rcg)
rcp	Recomposer'sMIDISequencerMusicfile
rcx	LegoMindstormsRoboticsInventionSystem
rdb	TrueVectorRulesdatabase
rdf	CompiledUICsourcecode(GeoworksUICompiler)
rdi	Device-independentbitmapfile(RIFFRDIBformat)
rds	RayDreamStudiofile
rdx	Datafile(Reflex)
rec	Datafile(EpiInfo)
red	Pathinfo(ClarionModula-2)
ref	Cross-reference
reg	OLERegistration(Windows3.x)
rels	MicrosoftOffice2007Relationships
rem	EncryptedDatafile
rep	QWKreaderreplyfile
req	Request
res	Compiledresource(MSC/C++-BorlandC++)
rev	Revisionfile(Geoworks)
rex	Rexxsourcecodefile
rex	Reportdefinition(Oracle)
rez	Resourcefile
rf	Sunrastergraphics
rfl	RollForwardLogfile
rft	Dca/RFTRevisableFormatTextfile(IBMDisplayWrite
rgb	SgiRGBimagefile(SDSCImageTool)
rgi	RealArcadeGameInstaller
rgp	RealArcadeGamePackage
rgs	RealArcadeGameInstaller
rgx	Symboltablesetc.info(ReaGeniXcodegenerator)
